season_number,season_id,team_id,team_name,is_ai,roster_count,injuries_created,injuries_minor,injuries_medium,injuries_major,training_injuries,match_injuries,active_injuries,active_medium_major_injuries,avg_max_body_wear,max_body_wear,players_body_wear_over_70,players_body_wear_over_90
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8698b7c7-8ee5-457a-beff-b198b61d6c98,南部之星,True,16,5,5,0,0,5,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8705046a-c699-4ed3-a2a3-bbb9e40e06b3,双峰巨驼,True,16,2,2,0,0,2,0,0,0,1.37,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8900177a-c5ca-40ad-bc40-e240fd6f2d9e,巨象踏天,True,17,5,5,0,0,4,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,89bd5a4e-fd08-4203-b76e-a76e5e40e750,驼峰运输,True,17,1,0,1,0,0,1,0,0,2.13,3.6,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8be9eaf8-038f-4155-ab53-13acbff4a34e,凤凰涅槃,True,16,1,1,0,0,1,0,0,0,2.39,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8c09e83c-4838-4d81-ac1d-2fc8970b5996,华山剑客,True,17,7,6,1,0,3,4,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8c4bd183-3537-499a-a857-36da5ee3fcb8,天方夜谭,True,16,4,2,1,1,1,3,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8d55034d-d964-4216-a678-6b492b254d3a,金狼逐日,True,16,8,6,2,0,6,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,90127a81-e457-4c9d-9981-9a1d54ee9dc9,石油大亨,True,17,4,4,0,0,1,3,0,0,4.09,4.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,902585f2-0a29-457b-a8a7-6231e080c089,辛巴达航,True,16,2,2,0,0,2,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9192b63a-62eb-41f8-8294-4e8ed7b21cc4,银狼啸天,True,17,4,4,0,0,2,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,93d4a341-f696-4847-9963-39f49030f4c9,太妃糖埃弗,True,17,1,1,0,0,1,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,93f33371-f5bd-4f80-8652-b48419599822,雪山神鹰,True,17,5,5,0,0,1,4,0,0,1.27,1.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,95d02f9a-0c37-49b7-9a61-518ac5f7ef2c,复活节岛,True,16,2,1,1,0,1,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,95e4042e-52de-4df6-b5c9-7bc15fe0e2c6,库尔德勇,True,16,5,3,1,1,3,2,0,0,1.58,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,97bd3ccc-820c-47fd-8ff0-1acbd2dd5b90,水蟒巨蛇,True,17,5,5,0,0,3,2,0,0,6.86,21.05,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,985d0af0-92b6-4101-a859-b4b3ade0c9c4,少林武僧,True,17,4,2,2,0,2,2,0,0,3.97,6.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,98d30838-3492-4b0c-8322-4314995bd393,一千零一夜,True,17,5,5,0,0,3,2,0,0,2.85,4.8,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,99300516-f774-4dff-8748-c4f8fa826f46,阿根廷梦,True,16,4,3,1,0,2,2,0,0,0.07,1.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,998ee0cd-7f64-4845-9225-151320635338,赫塔菲蓝,True,17,5,5,0,0,2,3,1,0,0.07,1.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,99b60819-3bb0-4ea6-a313-e0e25f54fe6b,沙漠商队,True,16,4,4,0,0,2,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9a5d0d3c-b55b-4916-a8b2-f1259690c986,祖鲁战士,True,17,3,3,0,0,3,0,0,0,5.23,13.77,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9b967cfb-d53b-40d1-bafa-aa907b8d0163,凯门鳄凶,True,16,5,4,1,0,1,4,0,0,3.37,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9bbd18bf-ab3c-443c-9ff6-e552d4f5fef6,蓝军切尔西,True,17,3,2,1,0,1,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9c415d32-dffa-4665-a9dd-71efc490b763,清真寺塔,True,16,2,2,0,0,1,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9cd1ad3c-d8fb-4218-a634-2488d4756d21,尼罗河神,True,16,3,3,0,0,1,2,0,0,2.12,3.6,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9d7bbfa0-9c00-41c4-a6a5-846ae2fdfac4,阿拉伯舞,True,16,8,6,2,0,6,2,0,0,0.45,7.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9d8b1cbe-4b94-4e17-9c47-a4a902b851d7,非洲大象,True,16,2,2,0,0,1,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,9df8fe36-708a-48f0-907f-d29e4b838083,足球精灵,True,16,7,6,1,0,2,5,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a0a40c58-92e7-4ee8-a1bd-d2ea7bfe8908,薛西斯军,True,17,2,1,1,0,1,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a0c9921b-5fca-46a9-9356-3fc9360e0253,祖母绿光,True,17,3,3,0,0,3,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a2332c17-c381-4780-b589-94c4f12f1991,克鲁格园,True,16,3,2,1,0,1,2,0,0,3.23,4.8,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a28c9ba2-440b-487e-bbf2-ccc2d2cfb323,飞驴切沃,True,16,1,1,0,0,0,1,0,0,2.99,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a4bd10dd-8eb2-4436-af34-ca71729a7606,美因茨红,True,16,1,0,1,0,0,1,0,0,1.11,8.18,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a4c7a0b3-a574-48a6-8f5b-e87bf47b17bd,药厂勒沃,True,16,1,1,0,0,1,0,0,0,3.21,4.77,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a513e312-2947-41ac-8191-76c13178ef90,沙漠孤鹰,True,16,1,1,0,0,1,0,0,0,0.47,7.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a5671302-f5d6-497a-ae3f-c39c2f4eead3,日耳曼战,True,16,3,3,0,0,1,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a729c9b9-d105-471a-bb71-ffd3bf626fbf,麒麟踏云,True,17,2,2,0,0,1,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,a77b1305-eb69-4e84-a3b0-a68c1ed073e5,红魔曼联,True,17,5,4,1,0,2,3,1,0,2.26,2.5,0,0
