loop_index,season_id,season_day,fixture_id,fixture_type,side,team_id,opponent_team_id,formation_id,passing_style,attack_width,attack_tempo,defensive_line_height,crossing_strategy,shooting_mentality,playmaker_focus,pressing_intensity,defensive_compactness,marking_strategy,offside_trap,tackling_aggression,starter_count,starter_avg_ovr,starter_avg_lineup_score,starter_avg_state,starter_avg_fitness,starter_low_form_count,starter_gk,starter_df,starter_mf,starter_fw,bench_count,bench_avg_ovr,bench_avg_lineup_score,bench_avg_state,bench_avg_fitness,starter_bench_lineup_score_gap,starter_bench_state_gap,starter_bench_fitness_gap
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2626f00e-7be3-4c06-a89b-1ba141d2883b,league,away,ea902300-b610-4bfb-b349-a9485172f274,03da49a8-bd25-49da-8e08-8854838945da,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,87.62,90.62,0.0,100.0,0,1,2,4,1,5,76.0,79.0,0.0,100.0,11.62,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,26a27779-31d9-4d20-8b8d-32bc2282131c,league,home,c35d9b4c-36fb-42ff-a43a-59a5967501ef,3c3a29d3-fe6a-488d-abe2-c9fb48590189,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,70.25,73.25,0.0,100.0,0,1,2,4,1,5,60.4,63.4,0.0,100.0,9.85,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,26a27779-31d9-4d20-8b8d-32bc2282131c,league,away,3c3a29d3-fe6a-488d-abe2-c9fb48590189,c35d9b4c-36fb-42ff-a43a-59a5967501ef,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,66.62,69.62,0.0,100.0,0,1,2,4,1,5,60.0,63.0,0.0,100.0,6.62,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2851234b-eb09-43af-b19f-c2245a8c0079,league,home,7dbe9b9b-b3f0-4239-804a-3b8efb5ffe8e,e917fd2b-1d70-46e5-a084-f771ffa690cf,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,64.12,67.12,0.0,100.0,0,1,2,2,3,5,55.4,58.4,0.0,100.0,8.72,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2851234b-eb09-43af-b19f-c2245a8c0079,league,away,e917fd2b-1d70-46e5-a084-f771ffa690cf,7dbe9b9b-b3f0-4239-804a-3b8efb5ffe8e,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,66.75,69.75,0.0,100.0,0,1,2,4,1,5,61.6,64.6,0.0,100.0,5.15,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2856b126-0fab-443d-8e5f-9a63a5a6aa14,league,home,58083948-98d4-4273-a8ea-7e761de298c5,8b9cb661-b1bc-432f-85c0-62d0a1ce92d5,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,72.0,75.0,0.0,100.0,0,1,2,4,1,5,63.8,66.8,0.0,100.0,8.2,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2856b126-0fab-443d-8e5f-9a63a5a6aa14,league,away,8b9cb661-b1bc-432f-85c0-62d0a1ce92d5,58083948-98d4-4273-a8ea-7e761de298c5,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,74.25,77.25,0.0,100.0,0,1,2,4,1,5,65.8,68.8,0.0,100.0,8.45,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2b389336-c426-415b-9b05-b4f42dd25b61,league,home,199fad84-efcc-4142-b047-12b3f73418ba,6b12c606-a782-4b72-8161-5376a41c1271,F04,1,2,4,1,2,2,0,1,2,0,0,1,8,75.5,78.5,0.0,100.0,0,1,3,2,2,5,66.8,69.8,0.0,100.0,8.7,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2b389336-c426-415b-9b05-b4f42dd25b61,league,away,6b12c606-a782-4b72-8161-5376a41c1271,199fad84-efcc-4142-b047-12b3f73418ba,F08,2,4,2,2,4,2,0,2,1,0,0,1,8,75.88,78.88,0.0,100.0,0,1,1,4,2,5,62.8,65.8,0.0,100.0,13.08,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2c889d32-f538-45f1-99fd-3397bfbddb16,league,home,9ff92e18-f11b-41b7-9901-179da6780944,feebfc45-c1e1-4066-af60-b5ff36ffc7a6,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,66.88,69.88,0.0,100.0,0,1,2,4,1,5,58.8,61.8,0.0,100.0,8.08,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2c889d32-f538-45f1-99fd-3397bfbddb16,league,away,feebfc45-c1e1-4066-af60-b5ff36ffc7a6,9ff92e18-f11b-41b7-9901-179da6780944,F06,1,2,4,1,2,2,0,1,2,0,0,1,8,65.75,68.75,0.0,100.0,0,1,3,3,1,5,57.6,60.6,0.0,100.0,8.15,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2cff0ff4-d48b-40d2-837a-d0d9d8455753,league,home,05103e9b-03f1-4eb6-b12b-975a4f829c54,a5eb6059-9a70-4ccc-bbdb-4c6c58744468,F04,1,2,4,1,2,2,0,1,2,0,0,1,8,78.5,81.5,0.0,100.0,0,1,3,2,2,5,71.6,74.6,0.0,100.0,6.9,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2cff0ff4-d48b-40d2-837a-d0d9d8455753,league,away,a5eb6059-9a70-4ccc-bbdb-4c6c58744468,05103e9b-03f1-4eb6-b12b-975a4f829c54,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,75.88,78.88,0.0,100.0,0,1,2,4,1,5,71.4,74.4,0.0,100.0,4.48,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,30bab58a-399a-4f77-a31c-84cca463e506,league,home,04ee23d4-b012-4044-94ff-0a08f256e99d,bc7d2255-c551-4b18-93ca-9b29b4e1b92f,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,76.5,79.5,0.0,100.0,0,1,2,4,1,5,66.6,69.6,0.0,100.0,9.9,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,30bab58a-399a-4f77-a31c-84cca463e506,league,away,bc7d2255-c551-4b18-93ca-9b29b4e1b92f,04ee23d4-b012-4044-94ff-0a08f256e99d,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,74.12,77.12,0.0,100.0,0,1,2,2,3,5,67.4,70.4,0.0,100.0,6.72,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,30feb2af-d383-4016-a48e-c3253b063994,league,home,94b7d213-787e-424a-aef4-5a83b972d9d0,9fb5aaaa-a899-4ada-8cfd-89460f3e5e73,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,72.12,75.12,0.0,100.0,0,1,2,4,1,5,57.0,60.0,0.0,100.0,15.12,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,30feb2af-d383-4016-a48e-c3253b063994,league,away,9fb5aaaa-a899-4ada-8cfd-89460f3e5e73,94b7d213-787e-424a-aef4-5a83b972d9d0,F04,1,2,4,1,2,2,0,1,2,0,0,1,8,72.12,75.12,0.0,100.0,0,1,3,2,2,5,63.4,66.4,0.0,100.0,8.72,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,34282c73-a22f-4ac2-933b-d729b4fef5a4,league,home,215afe24-87be-4aea-bf91-0be0dd5a36a0,ef7a6e7e-9ebd-45eb-a55a-63c88f49b0fb,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,64.62,67.62,0.0,100.0,0,1,2,4,1,5,57.6,60.6,0.0,100.0,7.02,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,34282c73-a22f-4ac2-933b-d729b4fef5a4,league,away,ef7a6e7e-9ebd-45eb-a55a-63c88f49b0fb,215afe24-87be-4aea-bf91-0be0dd5a36a0,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,67.38,70.38,0.0,100.0,0,1,2,2,3,5,57.6,60.6,0.0,100.0,9.78,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,35bf866a-83b4-45f3-a684-3fd186d6e0c1,league,home,dbe5f5fe-76b7-4d38-ac35-b96d8ea8f05c,1c9a5fe7-690f-4a69-8815-a667520c2752,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,75.88,78.88,0.0,100.0,0,1,2,4,1,5,66.4,69.4,0.0,100.0,9.48,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,35bf866a-83b4-45f3-a684-3fd186d6e0c1,league,away,1c9a5fe7-690f-4a69-8815-a667520c2752,dbe5f5fe-76b7-4d38-ac35-b96d8ea8f05c,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,71.5,74.5,0.0,100.0,0,1,2,4,1,5,62.0,65.0,0.0,100.0,9.5,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,39c03bdb-eb2d-4502-acd5-88c7334f376c,league,home,ade8413a-40f9-47f1-ba80-3dd574d1cf9a,b0b9175f-081b-4231-9466-33753de4c71f,F08,2,4,2,2,4,2,0,2,1,0,0,1,8,67.0,70.0,0.0,100.0,0,1,1,4,2,5,60.2,63.2,0.0,100.0,6.8,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,39c03bdb-eb2d-4502-acd5-88c7334f376c,league,away,b0b9175f-081b-4231-9466-33753de4c71f,ade8413a-40f9-47f1-ba80-3dd574d1cf9a,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,69.12,72.12,0.0,100.0,0,1,2,4,1,5,61.0,64.0,0.0,100.0,8.12,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,3aec23a7-5a73-4509-b8d1-f53bd2cdb3cf,league,home,6cebdb19-69f8-455e-9277-4a6cf2a2ae6b,3a8d6fb6-33ae-4300-9fd2-08c0c9c32580,F03,2,2,3,4,2,3,0,4,1,2,2,3,8,76.75,79.75,0.0,100.0,0,1,1,3,3,5,65.8,68.8,0.0,100.0,10.95,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,3aec23a7-5a73-4509-b8d1-f53bd2cdb3cf,league,away,3a8d6fb6-33ae-4300-9fd2-08c0c9c32580,6cebdb19-69f8-455e-9277-4a6cf2a2ae6b,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,70.12,73.12,0.0,100.0,0,1,2,4,1,5,64.0,67.0,0.0,100.0,6.12,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,3c3d4e6a-d0f9-46b3-a614-526672ecd4b6,league,home,217d3cb7-7e3a-45d0-8d7f-c4aad338ffb7,55267f36-f651-46ec-8f24-0900db0e464b,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,67.0,70.0,0.0,100.0,0,1,2,4,1,5,59.8,62.8,0.0,100.0,7.2,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,3c3d4e6a-d0f9-46b3-a614-526672ecd4b6,league,away,55267f36-f651-46ec-8f24-0900db0e464b,217d3cb7-7e3a-45d0-8d7f-c4aad338ffb7,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,68.38,71.38,0.0,100.0,0,1,2,4,1,5,56.6,59.6,0.0,100.0,11.78,0.0,0.0
