season_number,season_id,metric_type,position,players,matches,goals,assists,shots,key_passes,assists_per_key_pass,shots_per_match,goals_per_match,tackles,tackles_succ,interceptions,clearances,blocks,def_actions,tackles_per_match,interceptions_per_match,def_actions_per_match,df_tackles,mf_tackles,df_interceptions,mf_interceptions,df_def_actions,mf_def_actions,df_tackle_share_pct,df_interception_share_pct,df_def_action_share_pct,df_mf_tackle_ratio,df_mf_interception_ratio,player_id,player_name,ovr,passes,warning,goal_assist_total
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,16,10,53,,,,,,,,,,,,,,,,,,,,,,,,,6330c0b7-ea3c-48ac-9280-9fee65d49887,伊瓦诺 桑托斯,62.0,,,26
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,18,5,39,,,,,,,,,,,,,,,,,,,,,,,,,fad54b70-7f9b-4d94-a121-856bee2ddda6,冯伟俊,60.0,,,23
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,15,7,37,,,,,,,,,,,,,,,,,,,,,,,,,eb8e89e8-62c4-49a7-96a6-c840539e4412,国栋 朋,62.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,13,9,39,,,,,,,,,,,,,,,,,,,,,,,,,a7a2fa7a-fb54-44db-a638-ffa8150fd84a,曹致毅,62.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,15,7,61,,,,,,,,,,,,,,,,,,,,,,,,,a7c53f9a-d66d-4a79-9e3c-a9c6a23f8b27,温坤宁,55.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,13,9,45,,,,,,,,,,,,,,,,,,,,,,,,,67a5b5e6-dbd3-4dd6-aa5f-1d53d840703a,内维奥 阿尔瓦雷斯,55.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,18,3,50,,,,,,,,,,,,,,,,,,,,,,,,,9885dc8e-d5b3-4a13-b3b7-62c16faa4bdb,茂 饭田,59.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,14,7,42,,,,,,,,,,,,,,,,,,,,,,,,,9782d21b-833e-4846-817e-72c2d63d6449,胜基 素,61.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,10,11,36,,,,,,,,,,,,,,,,,,,,,,,,,cc2f63e6-f838-4ba7-b693-89e9c977d37d,奥克塔维安 霍夫曼,59.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,14,6,50,,,,,,,,,,,,,,,,,,,,,,,,,e0b23973-6683-482b-9223-5b6f156e0591,查里东 安布罗西尼,63.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,5,39,,,,,,,,,,,,,,,,,,,,,,,,,8e5c17f5-7abc-4391-a353-6718aeccd921,约戈斯 马里诺,60.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,14,6,41,,,,,,,,,,,,,,,,,,,,,,,,,e247dca7-80ec-470e-b035-4a05048cc59c,科迪 格雷厄姆,47.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,16,14,5,35,,,,,,,,,,,,,,,,,,,,,,,,,65082e82-72ec-4017-8c61-5e7e30219bcc,郑海翔,63.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,19,0,49,,,,,,,,,,,,,,,,,,,,,,,,,3286a2fd-0843-4b98-88aa-d0250cc3e46a,于格 布瓦洛,61.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,4,46,,,,,,,,,,,,,,,,,,,,,,,,,ba1ff906-5f98-43a1-8c20-da814037f294,郭毅文,56.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,15,4,43,,,,,,,,,,,,,,,,,,,,,,,,,e8739631-c842-42c3-a69f-11f12fa307d0,汪欧,60.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,51.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,16,11,7,50,,,,,,,,,,,,,,,,,,,,,,,,,37df0534-0636-4e73-b3ed-ba34c392764b,博胡米尔 马林,60.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,92de69bb-7f58-4332-8f09-1675a35be2a4,韩止,59.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,10,8,32,,,,,,,,,,,,,,,,,,,,,,,,,51209735-e9c5-46c4-b23b-152ebd6b3e4a,稔 大野,63.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,14,4,51,,,,,,,,,,,,,,,,,,,,,,,,,d5043a84-c8fa-4966-a88c-3f191f85ade5,利博尔 博加特廖夫,58.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,11,7,49,,,,,,,,,,,,,,,,,,,,,,,,,337cba03-2ba5-454f-9f96-d2a36a79d2e7,方嘉纳,50.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,13,5,36,,,,,,,,,,,,,,,,,,,,,,,,,1a899992-b671-47a9-a51a-605d6e2293b1,杰西 高夫,62.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,22,15,2,32,,,,,,,,,,,,,,,,,,,,,,,,,185f8a8f-62bb-475d-bde7-aea1fc213174,福特 弗林,60.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,33,,,,,,,,,,,,,,,,,,,,,,,,,e521eaf4-6102-4527-9428-9057c682fb40,正宇 吕,55.0,,,17
