season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,18aee98c-a0f2-490f-9876-7caf88dd0f08,大流士王,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,8,7,14,2,1,11,16,34,-18,15,56.33,62.62,81,5,0,0,0,0,0,1600000.0,613043.0,38.32,6467217.48,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,19e3f4c4-6b77-4626-8851-46bf9cd3f50d,足球精灵,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,8,9,14,2,3,9,26,40,-14,14,76.36,82.25,91,6,0,0,0,0,0,4200000.0,2293944.0,54.62,14918230.65,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1a88743d-0b20-492d-add3-6a8961184f81,驼峰运输,True,a14c4617-240a-46a6-990f-37f821870474,3,1,30,14,9,3,2,30,21,9,15,65.0,71.12,85,5,0,0,0,0,0,2250000.0,1068248.0,47.48,9778530.54,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1ac3e675-afac-466f-a9fd-4f806bf7c6f3,狼队伍尔弗,True,9367e21b-6e3a-4531-8dfb-0af639ae6a0d,2,7,12,14,3,3,8,18,36,-18,14,69.43,74.38,85,2,0,0,0,0,0,3100000.0,1248207.0,40.26,12827420.27,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1af119e0-e593-4062-88fb-92dc16a57205,土耳其近,True,5223ef74-be5a-4ff0-a3bc-6f00f60b2290,4,5,18,14,5,3,6,14,19,-5,15,59.13,64.88,79,8,0,0,0,0,0,1600000.0,680032.0,42.5,6309027.12,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1b2cba45-5a62-4e16-9152-784ae9932f6c,阿根廷梦,True,b34e5953-6ecc-49f9-b231-ac8b8d7f89da,2,4,20,14,6,2,6,22,30,-8,13,70.92,75.75,86,6,0,0,0,0,0,3100000.0,1490146.0,48.07,12473300.82,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1b4e22b3-444a-49bd-bb80-33b02310ae6e,沙滩足球,True,9c6d0d26-d73b-4e64-a24b-07ecc3e24dcf,1,6,11,14,3,2,9,25,33,-8,14,83.79,88.5,97,3,0,0,0,0,0,4200000.0,2991781.0,71.23,13500199.35,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1d51a369-b074-4981-ae75-b1502605df6b,沙漠孤鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,5,14,14,3,5,6,25,30,-5,15,65.93,72.62,85,5,0,0,0,0,0,2250000.0,1144203.0,50.85,9377370.23,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1d876db7-4a41-422c-b698-ef8b431b2072,铁锤帮西汉,True,9367e21b-6e3a-4531-8dfb-0af639ae6a0d,2,3,22,14,6,4,4,25,21,4,14,74.29,80.5,99,8,0,0,0,0,0,3100000.0,1981043.0,63.9,11809245.78,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1e858fc7-b407-4cf1-ae63-7b50797fd677,星月传奇,True,a214dae7-f210-4978-a373-8769b832bee7,3,1,27,14,9,0,5,34,18,16,15,71.07,76.25,84,5,0,0,0,0,0,2250000.0,1581838.0,70.3,8936615.63,A,none
